YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-05,WEEKDAY,11,TRAIN,TE22,2431,3950
2024-05,WEEKDAY,17,TRAIN,DT21,14493,9680
2024-05,WEEKENDS/HOLIDAY,17,TRAIN,DT21,4934,3733
2024-05,WEEKENDS/HOLIDAY,19,TRAIN,NE12/CC13,30460,37931
2024-05,WEEKDAY,19,TRAIN,NE12/CC13,69732,138576
2024-05,WEEKDAY,6,TRAIN,EW31,5378,11727
2024-05,WEEKENDS/HOLIDAY,6,TRAIN,EW31,1814,2746
2024-05,WEEKENDS/HOLIDAY,15,TRAIN,EW7,7271,9032
2024-05,WEEKDAY,15,TRAIN,EW7,10611,15438
2024-05,WEEKENDS/HOLIDAY,0,TRAIN,NE17/PTC,252,1742
2024-05,WEEKDAY,0,TRAIN,NE17/PTC,483,3710
2024-05,WEEKDAY,13,TRAIN,BP12,3572,1710
2024-05,WEEKENDS/HOLIDAY,13,TRAIN,BP12,1291,802
2024-05,WEEKENDS/HOLIDAY,14,TRAIN,NS17/CC15,23603,21887
2024-05,WEEKDAY,14,TRAIN,NS17/CC15,44571,39933
2024-05,WEEKENDS/HOLIDAY,16,TRAIN,CC10/DT26,7912,6583
2024-05,WEEKDAY,16,TRAIN,CC10/DT26,15250,13296
2024-05,WEEKENDS/HOLIDAY,6,TRAIN,DT28,3734,1199
2024-05,WEEKDAY,6,TRAIN,DT28,16160,7330
2024-05,WEEKENDS/HOLIDAY,5,TRAIN,DT7,41,7
2024-05,WEEKDAY,5,TRAIN,DT7,178,76
2024-05,WEEKENDS/HOLIDAY,11,TRAIN,PW5,2427,1066
2024-05,WEEKDAY,11,TRAIN,PW5,2294,1414
2024-05,WEEKDAY,18,TRAIN,BP3,4955,14300
2024-05,WEEKENDS/HOLIDAY,18,TRAIN,BP3,1874,2625
2024-05,WEEKENDS/HOLIDAY,22,TRAIN,CC28,466,1838
2024-05,WEEKDAY,22,TRAIN,CC28,1052,3989
2024-05,WEEKDAY,13,TRAIN,SW6,4107,4146
2024-05,WEEKENDS/HOLIDAY,13,TRAIN,SW6,2094,1685
2024-05,WEEKENDS/HOLIDAY,17,TRAIN,NE12/CC13,35514,42491
2024-05,WEEKDAY,17,TRAIN,NE12/CC13,71411,116795
2024-05,WEEKDAY,8,TRAIN,NS21/DT11,116027,135132
2024-05,WEEKENDS/HOLIDAY,8,TRAIN,NS21/DT11,19028,20193
2024-05,WEEKENDS/HOLIDAY,0,TRAIN,NE16/STC,256,1903
2024-05,WEEKDAY,0,TRAIN,NE16/STC,508,3860
2024-05,WEEKENDS/HOLIDAY,21,TRAIN,CC24,3561,1631
2024-05,WEEKDAY,21,TRAIN,CC24,15668,4035
2024-05,WEEKDAY,12,TRAIN,EW8/CC9,42707,53910
2024-05,WEEKENDS/HOLIDAY,12,TRAIN,EW8/CC9,32302,36725
2024-05,WEEKDAY,20,TRAIN,BP5,1569,2368
2024-05,WEEKENDS/HOLIDAY,20,TRAIN,BP5,597,886
2024-05,WEEKDAY,12,TRAIN,EW15,34069,38412
2024-05,WEEKENDS/HOLIDAY,12,TRAIN,EW15,10434,14039
2024-05,WEEKDAY,7,TRAIN,SW4,11985,1377
2024-05,WEEKENDS/HOLIDAY,7,TRAIN,SW4,1092,367
2024-05,WEEKENDS/HOLIDAY,22,TRAIN,DT33,2172,10470
2024-05,WEEKDAY,22,TRAIN,DT33,3868,23504
2024-05,WEEKDAY,11,TRAIN,EW24/NS1,35174,62248
2024-05,WEEKENDS/HOLIDAY,11,TRAIN,EW24/NS1,22270,44303
2024-05,WEEKDAY,23,TRAIN,CC23,1670,649
2024-05,WEEKENDS/HOLIDAY,23,TRAIN,CC23,408,331
2024-05,WEEKDAY,22,TRAIN,DT13,8017,7510
2024-05,WEEKENDS/HOLIDAY,22,TRAIN,DT13,3273,3777
2024-05,WEEKDAY,23,TRAIN,NE14,2372,18647
2024-05,WEEKENDS/HOLIDAY,23,TRAIN,NE14,1126,8888
2024-05,WEEKDAY,22,TRAIN,NS9/TE2,26597,64732
2024-05,WEEKENDS/HOLIDAY,22,TRAIN,NS9/TE2,14576,29887
2024-05,WEEKENDS/HOLIDAY,12,TRAIN,DT22,5071,7003
2024-05,WEEKDAY,12,TRAIN,DT22,7727,9117
2024-05,WEEKDAY,18,TRAIN,DT28,39255,26664
2024-05,WEEKENDS/HOLIDAY,18,TRAIN,DT28,6604,6581
2024-05,WEEKDAY,12,TRAIN,DT34,5991,3592
2024-05,WEEKENDS/HOLIDAY,12,TRAIN,DT34,2687,1439
2024-05,WEEKDAY,9,TRAIN,SW7,4557,1180
2024-05,WEEKENDS/HOLIDAY,9,TRAIN,SW7,1909,648
2024-05,WEEKDAY,12,TRAIN,NE17/PTC,38399,36693
2024-05,WEEKENDS/HOLIDAY,12,TRAIN,NE17/PTC,29197,24826
2024-05,WEEKDAY,19,TRAIN,NE8,39993,68348
2024-05,WEEKENDS/HOLIDAY,19,TRAIN,NE8,30496,30782
2024-05,WEEKENDS/HOLIDAY,21,TRAIN,NS13,19552,28772
2024-05,WEEKDAY,21,TRAIN,NS13,43255,70329
2024-05,WEEKENDS/HOLIDAY,5,TRAIN,NS13,6255,1055
2024-05,WEEKDAY,5,TRAIN,NS13,27229,4480
2024-05,WEEKENDS/HOLIDAY,5,TRAIN,PW6,146,3
2024-05,WEEKDAY,5,TRAIN,PW6,628,18
2024-05,WEEKENDS/HOLIDAY,13,TRAIN,CC21,6404,6682
2024-05,WEEKDAY,13,TRAIN,CC21,14638,9031
2024-05,WEEKDAY,14,TRAIN,PE7,3304,4799
2024-05,WEEKENDS/HOLIDAY,14,TRAIN,PE7,2299,2192
2024-05,WEEKDAY,10,TRAIN,CC20,4889,3155
2024-05,WEEKENDS/HOLIDAY,10,TRAIN,CC20,3248,2410
2024-05,WEEKENDS/HOLIDAY,21,TRAIN,EW25,3059,6096
2024-05,WEEKDAY,21,TRAIN,EW25,4638,14431
2024-05,WEEKDAY,16,TRAIN,CC2,5896,3926
2024-05,WEEKENDS/HOLIDAY,16,TRAIN,CC2,3071,2641
2024-05,WEEKDAY,14,TRAIN,CC12,8762,6370
2024-05,WEEKENDS/HOLIDAY,14,TRAIN,CC12,2926,3108
2024-05,WEEKENDS/HOLIDAY,16,TRAIN,NS20,17565,14018
2024-05,WEEKDAY,16,TRAIN,NS20,61284,29515
2024-05,WEEKDAY,16,TRAIN,NS14,27857,34291
2024-05,WEEKENDS/HOLIDAY,16,TRAIN,NS14,15606,14167
2024-05,WEEKDAY,11,TRAIN,NS15,21337,18741
2024-05,WEEKENDS/HOLIDAY,11,TRAIN,NS15,7644,4056
2024-05,WEEKENDS/HOLIDAY,5,TRAIN,EW21/CC22,443,130
2024-05,WEEKDAY,5,TRAIN,EW21/CC22,2211,1203
2024-05,WEEKDAY,11,TRAIN,BP4,7273,2565
2024-05,WEEKENDS/HOLIDAY,11,TRAIN,BP4,1060,566
2024-05,WEEKENDS/HOLIDAY,11,TRAIN,NS27/CE2/TE20,1468,2421
2024-05,WEEKDAY,11,TRAIN,NS27/CE2/TE20,4595,4292
2024-05,WEEKENDS/HOLIDAY,9,TRAIN,NS17/CC15,20553,14136
2024-05,WEEKDAY,9,TRAIN,NS17/CC15,61412,29430
2024-05,WEEKDAY,6,TRAIN,EW10,20566,4433
2024-05,WEEKENDS/HOLIDAY,6,TRAIN,EW10,4889,1440
2024-05,WEEKDAY,8,TRAIN,NS28,2061,3216
